trial_id,start_ms,duration_ms,fix_x,fix_y,exp_id,end_ms,program,offset_kind,aoi_block,aoi_interface,aoi_line,aoi_line chunks,aoi_method-call,aoi_signature,aoi_sub-block,aoi_sub-line
10,5102,167,473.06817626953125,14.0,2,5269,basketball,none,,code box,line 1,line 1 chunk 6,,,,line 1 part 3
10,5419,217,544.9107055664064,79.64286041259766,2,5636,basketball,none,attributes,code box,line 2,line 2 chunk 7,,,,line 2 part 4
10,6136,267,427.058837890625,70.35294342041016,2,6403,basketball,none,attributes,code box,line 2,line 2 chunk 2,,,,line 2 part 1
10,6503,300,510.3947448730469,72.78947448730467,2,6803,basketball,none,attributes,code box,line 2,line 2 chunk 6,,,,line 2 part 3
10,6936,517,562.3828125,81.125,2,7453,basketball,none,attributes,code box,line 2,line 2 chunk 8,,,,line 2 part 5
10,7837,250,427.03125,44.6875,2,8087,basketball,none,attributes,code box,line 1,line 1 chunk 5,,,,line 1 part 2
10,8104,266,386.1764831542969,52.70588302612305,2,8370,basketball,none,attributes,code box,line 1,line 1 chunk 3,,,,line 1 part 1
10,8620,217,590.2678833007812,75.21428680419923,2,8837,basketball,none,attributes,code box,line 2,line 2 chunk 9,,,,line 2 part 6
10,8871,550,460.4779357910156,139.14706420898438,2,9421,basketball,none,attributes,code box,line 3,line 3 chunk 4,,,,line 3 part 2
10,9437,267,418.45587158203125,131.64706420898438,2,9704,basketball,none,attributes,code box,line 3,line 3 chunk 2,,,,line 3 part 1
10,9754,251,624.296875,150.875,2,10005,basketball,none,main,code box,line 5,line 5 chunk 10,,main params,main signature,line 5 part 6
10,10038,233,869.5,158.93333435058594,2,10271,basketball,none,main,code box,,,,,,
10,10621,267,482.3529357910156,196.82353210449216,2,10888,basketball,none,main,code box,line 6,line 6 chunk 2,,main type,main body,line 5 part 2
10,10905,234,425.9166564941406,210.0666656494141,2,11139,basketball,none,main,code box,line 6,line 6 chunk 1,,,main body,line 6 part 1
10,11155,300,574.5394897460938,208.7894744873047,2,11455,basketball,none,main,code box,line 6,line 6 chunk 6,,,main body,line 6 part 5
10,11672,267,431.1764831542969,164.8235321044922,2,11939,basketball,none,main,code box,line 5,line 5 chunk 3,,main type,main signature,line 5 part 1
10,12089,216,418.94232177734375,189.61538696289062,2,12305,basketball,none,main,code box,line 5,line 5 chunk 2,,main type,main signature,line 5 part 1
