height,kind,name,program,width,x,y
36.0,line,line 1,rectangle,242.0,327.0,90.0
36.0,sub-line,line 1 part 1,rectangle,57.0,335.0,90.0
36.0,sub-line,line 1 part 2,rectangle,50.0,396.0,90.0
36.0,sub-line,line 1 part 3,rectangle,97.0,451.0,90.0
36.0,sub-line,line 1 part 4,rectangle,10.0,552.0,90.0
36.0,line,line 2,rectangle,269.0,381.0,127.0
36.0,sub-line,line 2 part 1,rectangle,65.0,389.0,127.0
36.0,sub-line,line 2 part 2,rectangle,24.0,459.0,127.0
36.0,sub-line,line 2 part 3,rectangle,21.0,487.0,127.0
36.0,sub-line,line 2 part 4,rectangle,5.0,517.0,127.0
36.0,sub-line,line 2 part 5,rectangle,20.0,528.0,127.0
36.0,sub-line,line 2 part 6,rectangle,5.0,557.0,127.0
36.0,sub-line,line 2 part 7,rectangle,24.0,568.0,127.0
36.0,sub-line,line 2 part 8,rectangle,6.0,597.0,127.0
36.0,sub-line,line 2 part 9,rectangle,24.0,608.0,127.0
36.0,sub-line,line 2 part 10,rectangle,5.0,638.0,127.0
36.0,line,line 4,rectangle,477.0,381.0,200.0
36.0,sub-line,line 4 part 1,rectangle,57.0,389.0,200.0
36.0,sub-line,line 4 part 2,rectangle,97.0,451.0,200.0
36.0,sub-line,line 4 part 3,rectangle,8.0,553.0,200.0
36.0,sub-line,line 4 part 4,rectangle,24.0,566.0,200.0
36.0,sub-line,line 4 part 5,rectangle,21.0,594.0,200.0
36.0,sub-line,line 4 part 6,rectangle,5.0,624.0,200.0
36.0,sub-line,line 4 part 7,rectangle,24.0,635.0,200.0
36.0,sub-line,line 4 part 8,rectangle,21.0,663.0,200.0
36.0,sub-line,line 4 part 9,rectangle,6.0,692.0,200.0
36.0,sub-line,line 4 part 10,rectangle,24.0,704.0,200.0
36.0,sub-line,line 4 part 11,rectangle,23.0,732.0,200.0
36.0,sub-line,line 4 part 12,rectangle,6.0,761.0,200.0
36.0,sub-line,line 4 part 13,rectangle,25.0,772.0,200.0
