program,kind,name
rectangle,line,"line 18"
rectangle,line,"line 5"
rectangle,line,"line 6"
rectangle,line,"line 7"
rectangle,line,"line 8"
rectangle,line,"line 18"
rectangle,line,"line 19"
rectangle,line,"line 15"
rectangle,line,"line 11"
rectangle,line,"line 15"
rectangle,line,"line 13"
rectangle,line,"line 15"
rectangle,line,"line 19"
rectangle,line,"line 20"
rectangle,line,"line 5"
rectangle,line,"line 6"
rectangle,line,"line 7"
rectangle,line,"line 8"
rectangle,line,"line 20"
rectangle,line,"line 21"
rectangle,line,"line 15"
rectangle,line,"line 11"
rectangle,line,"line 15"
rectangle,line,"line 13"
rectangle,line,"line 15"
rectangle,line,"line 21"
basketball,line,"line 6"
basketball,line,"line 7"
basketball,line,"line 11"
basketball,line,"line 12"
basketball,line,"line 13"
basketball,line,"line 23"
basketball,line,"line 24"
basketball,line,"line 25"
basketball,line,"line 27"
basketball,line,"line 13"
basketball,line,"line 14"
basketball,line,"line 15"
basketball,line,"line 16"
basketball,line,"line 18"
basketball,line,"line 7"
