ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY
15477	be26	0	1	1	5102	167	473.06817626953125	14
15478	be26	0	1	2	5419	217	544.91070556640625	79.642860412597656
15479	be26	0	1	3	6136	267	427.058837890625	70.352943420410156
15480	be26	0	1	4	6503	300	510.39474487304688	72.789474487304688
15481	be26	0	1	5	6936	517	562.3828125	81.125
15482	be26	0	1	6	7837	250	427.03125	44.6875
15483	be26	0	1	7	8104	266	386.17648315429688	52.705883026123047
15484	be26	0	1	8	8620	217	590.26788330078125	75.214286804199219
15485	be26	0	1	9	8871	550	460.47793579101562	139.14706420898438
15486	be26	0	1	10	9437	267	418.45587158203125	131.64706420898438
15487	be26	0	1	11	9754	251	624.296875	150.875
15488	be26	0	1	12	10038	233	869.5	158.93333435058594
15489	be26	0	1	13	10621	267	482.35293579101562	196.82353210449219
15490	be26	0	1	14	10905	234	425.91665649414062	210.06666564941406
15491	be26	0	1	15	11155	300	574.53948974609375	208.78947448730469
15492	be26	0	1	16	11672	267	431.17648315429688	164.82353210449219
15493	be26	0	1	17	12089	216	418.94232177734375	189.61538696289063
15494	be26	0	1	18	12339	233	424.75	52.599998474121094
15495	be26	0	1	19	12656	216	375.44644165039062	-20.928571701049805
15496	be26	0	1	20	12939	150	470.75	269.10000610351562
15497	be26	0	1	21	13123	266	603.60296630859375	305.58822631835938
15498	be26	0	1	22	13406	450	729.95538330078125	318.89285278320312
15499	be26	0	1	23	13990	283	504.23611450195312	345.33334350585938
15500	be26	0	1	24	14473	233	551.91668701171875	356.39999389648438
15501	be26	0	1	25	14740	400	420.64999389648438	344.27999877929688
15502	be26	0	1	26	15157	567	390.85714721679688	340.65713500976562
15503	be26	0	1	27	15790	334	643.6309814453125	351.71429443359375
15504	be26	0	1	28	16140	334	610.4761962890625	349.76190185546875
15505	be26	0	1	29	16524	317	663.4375	340.89999389648438
15506	be26	0	1	30	16874	300	790.85528564453125	356.3157958984375
15507	be26	0	1	31	17191	150	767.5	357.60000610351562
15508	be26	0	1	32	17358	166	655.56817626953125	355
15509	be26	0	1	33	17558	166	740.79547119140625	347
15510	be26	0	1	34	17758	567	466.28570556640625	356.028564453125
15511	be26	0	1	35	18491	267	744.48529052734375	356.941162109375
15512	be26	0	1	36	18825	300	696.64471435546875	343.52630615234375
15513	be26	0	1	37	19142	216	781.78570556640625	321.21429443359375
15514	be26	0	1	38	19425	217	716.16070556640625	305.21429443359375
15515	be26	0	1	39	19792	184	771.77081298828125	320
15516	be26	0	1	40	20259	167	563.8636474609375	357.09091186523438
15517	be26	0	1	41	20576	183	614.43182373046875	301.90908813476562
15518	be26	0	1	42	20776	300	582.10528564453125	337.84210205078125
15519	be26	0	1	43	21093	350	604.8863525390625	351.22726440429688
15520	be26	0	1	44	21493	333	500.53570556640625	345.33334350585938
15521	be26	0	1	45	22360	200	442.59616088867188	170.76922607421875
15522	be26	0	1	46	22593	500	468.75	343.64517211914062
15523	be26	0	1	47	23444	183	711.45831298828125	323.75
15524	be26	0	1	48	23710	200	455.67306518554688	69.384613037109375
15525	be26	0	1	49	23927	184	399.58334350585938	68.166664123535156
15526	be26	0	1	50	24344	167	480.90908813476562	16.636363983154297
15527	be26	0	1	51	24561	150	537.875	335.29998779296875
15528	be26	0	1	52	24728	266	577.5	335.11764526367188
15529	be26	0	1	53	25011	317	468	384.79998779296875
15530	be26	0	1	54	25361	317	482.75	616.5
15531	be26	0	1	55	25745	366	562.0108642578125	489.39129638671875
15532	be26	0	1	56	26412	200	393.36538696289062	758.4615478515625
