ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	
18082	UL29	8	1	1	250	200	407.5	218.923080444336	
18083	UL29	8	1	2	500	450	386.294647216797	106.571426391602	
18084	UL29	8	1	3	966	167	344.772735595703	94.0909118652344	
18085	UL29	8	1	4	1200	167	-190	0	
18086	UL29	8	1	5	1433	250	416.796875	46.25	
18087	UL29	8	1	6	2067	167	254.204544067383	5.72727251052856	
18088	UL29	8	1	7	2284	367	438.011352539063	66.0454559326172	
18089	UL29	8	1	8	2801	183	495.208343505859	72.75	
18090	UL29	8	1	9	3284	150	476.875	131	
18091	UL29	8	1	10	3451	150	431.125	129.199996948242	
18092	UL29	8	1	11	3851	234	472.916656494141	235.199996948242	
18093	UL29	8	1	12	4151	167	563.75	168.545455932617	
18094	UL29	8	1	13	4785	300	436.973693847656	237.947372436523	
18095	UL29	8	1	14	5168	251	492.890625	301.125	
18096	UL29	8	1	15	5469	200	467.019226074219	211.153839111328	
18097	UL29	8	1	16	5769	150	509	230.800003051758	
18098	UL29	8	1	17	5935	267	491.029418945313	255.823532104492	
18099	UL29	8	1	18	6219	217	462.053558349609	259.214294433594	
18100	UL29	8	1	19	6486	483	512.583312988281	278.966674804688	
18101	UL29	8	1	20	6986	150	486.375	313.700012207031	
18102	UL29	8	1	21	7286	200	420.865386962891	445.923065185547	
18103	UL29	8	1	22	7603	167	458.409088134766	452.818176269531	
18104	UL29	8	1	23	7886	284	370.902770996094	456.888885498047	
18105	UL29	8	1	24	8186	167	446.477264404297	465.545440673828	
18106	UL29	8	1	25	8403	300	584.671081542969	464.842102050781	
18107	UL29	8	1	26	8737	650	682.211547851563	466.205139160156	
18108	UL29	8	1	27	9520	184	742.604187011719	456.583343505859	
18109	UL29	8	1	28	9787	167	792.5	448.272735595703	
18110	UL29	8	1	29	10171	216	554.196411132813	463.214294433594	
18111	UL29	8	1	30	10471	283	423.541656494141	463.833343505859	
18112	UL29	8	1	31	10938	350	652.613647460938	465.545440673828	
18113	UL29	8	1	32	11304	567	691.857116699219	459.314300537109	
18114	UL29	8	1	33	11905	183	507.083343505859	279	
18115	UL29	8	1	34	12121	884	747.129638671875	445.703704833984	
18116	UL29	8	1	35	13022	167	775.795471191406	443.909088134766	
18117	UL29	8	1	36	13255	500	681.370971679688	463.645172119141	
18118	UL29	8	1	37	13789	150	574.5	249.899993896484	
18119	UL29	8	1	38	13956	283	506.180541992188	242.277770996094	
18120	UL29	8	1	39	14256	233	493.166656494141	291.399993896484	
18121	UL29	8	1	40	14556	267	764.705871582031	531.411743164063	
18122	UL29	8	1	41	14873	316	701.4375	538.799987792969	
18123	UL29	8	1	42	15206	167	751.25	534.818176269531	
18124	UL29	8	1	43	15423	183	417.5	542.25	
18125	UL29	8	1	44	15840	333	440.238098144531	633.952392578125	
18126	UL29	8	1	45	16190	150	501	633.5	
18127	UL29	8	1	46	16423	167	407.159088134766	633.363647460938	
