height,kind,local_id,name,program,width,x,y
36.0,line,,line 1,nt1,1085.0,282.0,432.0
20.0,sub-line,,line 1 part 1,nt1,33.0,290.0,440.0
20.0,sub-line,,line 1 part 2,nt1,74.0,328.0,440.0
20.0,sub-line,,line 1 part 3,nt1,17.0,408.0,440.0
20.0,sub-line,,line 1 part 4,nt1,60.0,429.0,440.0
20.0,sub-line,,line 1 part 5,nt1,13.0,494.0,440.0
20.0,sub-line,,line 1 part 6,nt1,48.0,513.0,440.0
20.0,sub-line,,line 1 part 7,nt1,93.0,567.0,440.0
20.0,sub-line,,line 1 part 8,nt1,34.0,664.0,440.0
20.0,sub-line,,line 1 part 9,nt1,26.0,703.0,440.0
20.0,sub-line,,line 1 part 10,nt1,74.0,735.0,440.0
20.0,sub-line,,line 1 part 11,nt1,17.0,814.0,440.0
20.0,sub-line,,line 1 part 12,nt1,48.0,835.0,440.0
20.0,sub-line,,line 1 part 13,nt1,69.0,888.0,440.0
20.0,sub-line,,line 1 part 14,nt1,40.0,963.0,440.0
20.0,sub-line,,line 1 part 15,nt1,80.0,1008.0,440.0
20.0,sub-line,,line 1 part 16,nt1,17.0,1093.0,440.0
20.0,sub-line,,line 1 part 17,nt1,92.0,1113.0,440.0
20.0,sub-line,,line 1 part 18,nt1,46.0,1209.0,440.0
20.0,sub-line,,line 1 part 19,nt1,27.0,1259.0,440.0
20.0,sub-line,,line 1 part 20,nt1,69.0,1291.0,440.0
36.0,line,,line 2,nt1,1072.0,282.0,476.0
20.0,sub-line,,line 2 part 1,nt1,33.0,290.0,484.0
20.0,sub-line,,line 2 part 2,nt1,19.0,329.0,484.0
20.0,sub-line,,line 2 part 3,nt1,83.0,353.0,484.0
20.0,sub-line,,line 2 part 4,nt1,42.0,442.0,484.0
20.0,sub-line,,line 2 part 5,nt1,40.0,489.0,484.0
20.0,sub-line,,line 2 part 6,nt1,38.0,534.0,484.0
20.0,sub-line,,line 2 part 7,nt1,46.0,576.0,484.0
20.0,sub-line,,line 2 part 8,nt1,21.0,625.0,484.0
20.0,sub-line,,line 2 part 9,nt1,60.0,651.0,484.0
20.0,sub-line,,line 2 part 10,nt1,18.0,715.0,484.0
20.0,sub-line,,line 2 part 11,nt1,69.0,736.0,484.0
20.0,sub-line,,line 2 part 12,nt1,65.0,809.0,484.0
20.0,sub-line,,line 2 part 13,nt1,18.0,878.0,484.0
20.0,sub-line,,line 2 part 14,nt1,21.0,900.0,484.0
20.0,sub-line,,line 2 part 15,nt1,27.0,925.0,484.0
20.0,sub-line,,line 2 part 16,nt1,86.0,958.0,484.0
20.0,sub-line,,line 2 part 17,nt1,18.0,1048.0,484.0
20.0,sub-line,,line 2 part 18,nt1,41.0,1069.0,484.0
20.0,sub-line,,line 2 part 19,nt1,89.0,1116.0,484.0
20.0,sub-line,,line 2 part 20,nt1,35.0,1210.0,484.0
20.0,sub-line,,line 2 part 21,nt1,54.0,1250.0,484.0
20.0,sub-line,,line 2 part 22,nt1,14.0,1310.0,484.0
20.0,sub-line,,line 2 part 23,nt1,18.0,1329.0,484.0
35.0,line,,line 3,nt1,1113.0,283.0,520.0
19.0,sub-line,,line 3 part 1,nt1,46.0,291.0,528.0
19.0,sub-line,,line 3 part 2,nt1,34.0,343.0,528.0
19.0,sub-line,,line 3 part 3,nt1,42.0,383.0,528.0
19.0,sub-line,,line 3 part 4,nt1,16.0,429.0,528.0
19.0,sub-line,,line 3 part 5,nt1,49.0,450.0,528.0
