trial_id	start_ms	duration_ms	fix_x	fix_y	exp_id	end_ms	program
1	0	183	943	526	4	183	nt1
1	250	92	376	367	4	342	nt1
1	350	367	354	439	4	717	nt1
1	726	283	433	436	4	1009	nt1
1	1101	100	294	435	4	1201	nt1
1	1285	133	363	444	4	1418	nt1
1	1435	217	454	439	4	1652	nt1
1	1660	392	511	436	4	2052	nt1
1	2069	659	594	437	4	2728	nt1
1	2737	225	611	422	4	2962	nt1
1	2970	109	652	432	4	3079	nt1
1	3087	225	709	440	4	3312	nt1
1	3321	258	761	441	4	3579	nt1
1	3588	267	831	437	4	3855	nt1
1	3863	392	881	430	4	4255	nt1
1	4263	92	910	432	4	4355	nt1
1	4405	292	364	431	4	4697	nt1
1	4706	208	457	435	4	4914	nt1
1	4923	208	542	429	4	5131	nt1
1	5148	150	614	427	4	5298	nt1
1	5306	201	729	427	4	5507	nt1
1	5540	267	987	421	4	5807	nt1
1	5882	109	1054	430	4	5991	nt1
1	5999	309	1109	436	4	6308	nt1
1	6316	184	1142	425	4	6500	nt1
1	6508	150	1106	425	4	6658	nt1
1	6675	342	1221	429	4	7017	nt1
1	7025	84	1253	428	4	7109	nt1
1	7117	209	1300	430	4	7326	nt1
1	7417	142	261	472	4	7559	nt1
1	7584	192	334	477	4	7776	nt1
1	7784	176	381	471	4	7960	nt1
1	7976	267	504	468	4	8243	nt1
1	8252	150	547	477	4	8402	nt1
1	8410	200	601	476	4	8610	nt1
1	8619	242	654	470	4	8861	nt1
1	8877	159	760	469	4	9036	nt1
1	9044	259	843	480	4	9303	nt1
1	9311	259	927	481	4	9570	nt1
1	9578	125	973	487	4	9703	nt1
1	9712	125	1024	480	4	9837	nt1
1	9845	276	1088	478	4	10121	nt1
1	10137	142	1153	475	4	10279	nt1
1	10296	250	1230	465	4	10546	nt1
1	10554	176	1274	469	4	10730	nt1
1	10738	225	1310	476	4	10963	nt1
1	11038	192	298	505	4	11230	nt1
1	11239	300	344	510	4	11539	nt1
1	11547	134	388	515	4	11681	nt1
1	11689	125	426	516	4	11814	nt1
1	11823	100	487	515	4	11923	nt1
1	11948	267	553	517	4	12215	nt1
1	12223	384	607	513	4	12607	nt1
1	12615	301	690	516	4	12916	nt1
1	12924	117	733	521	4	13041	nt1
1	13058	175	816	522	4	13233	nt1
1	13241	175	850	526	4	13416	nt1
1	13425	200	876	513	4	13625	nt1
1	13633	309	811	523	4	13942	nt1
1	13950	192	885	516	4	14142	nt1
1	14151	125	923	524	4	14276	nt1
1	14284	234	976	521	4	14518	nt1
1	14526	300	1014	521	4	14826	nt1
1	14835	133	1058	518	4	14968	nt1
1	14977	133	1097	514	4	15110	nt1
1	15127	183	1197	506	4	15310	nt1
1	15319	200	1234	515	4	15519	nt1
1	15536	233	1097	518	4	15769	nt1
1	15786	342	1245	512	4	16128	nt1
1	16136	100	1290	514	4	16236	nt1
1	16245	233	1333	519	4	16478	nt1
1	16553	267	333	555	4	16820	nt1
1	16837	376	443	555	4	17213	nt1
1	17229	209	496	548	4	17438	nt1
1	17446	267	552	554	4	17713	nt1
1	17722	83	595	559	4	17805	nt1
1	17813	342	671	563	4	18155	nt1
1	18172	467	764	561	4	18639	nt1
1	18648	308	847	562	4	18956	nt1
1	19048	159	335	394	4	19207	nt1
1	19215	117	343	427	4	19332	nt1
1	19340	150	432	433	4	19490	nt1
1	19499	200	481	429	4	19699	nt1
1	19707	192	530	429	4	19899	nt1
1	19916	225	626	431	4	20141	nt1
1	20150	208	713	433	4	20358	nt1
1	20375	167	835	431	4	20542	nt1
1	20550	259	899	431	4	20809	nt1
1	20817	300	1015	430	4	21117	nt1
1	21134	117	1057	415	4	21251	nt1
1	21268	191	1174	419	4	21459	nt1
1	21476	217	1295	414	4	21693	nt1
1	21701	151	1327	422	4	21852	nt1
1	21860	234	1230	427	4	22094	nt1
1	22102	75	1263	421	4	22177	nt1
1	22252	209	323	461	4	22461	nt1
1	22477	184	391	465	4	22661	nt1
1	22686	175	486	465	4	22861	nt1
1	22870	141	537	466	4	23011	nt1
1	23020	208	604	478	4	23228	nt1
1	23237	142	649	475	4	23379	nt1
1	23395	184	745	485	4	23579	nt1
1	23587	200	820	479	4	23787	nt1
1	23796	91	848	472	4	23887	nt1
1	23904	434	933	473	4	24338	nt1
1	24346	176	912	479	4	24522	nt1
1	24530	183	979	473	4	24713	nt1
1	24722	250	1071	469	4	24972	nt1
1	24980	126	1122	468	4	25106	nt1
1	25114	125	1201	462	4	25239	nt1
1	25247	351	1268	470	4	25598	nt1
1	25606	150	1319	474	4	25756	nt1
1	25832	225	408	475	4	26057	nt1
1	26074	241	313	504	4	26315	nt1
1	26324	75	396	512	4	26399	nt1
1	26416	383	503	470	4	26799	nt1
1	26808	92	559	469	4	26900	nt1
1	26916	267	481	466	4	27183	nt1
1	27192	141	527	468	4	27333	nt1
1	27342	225	567	464	4	27567	nt1
1	27584	133	634	468	4	27717	nt1
1	27725	217	673	473	4	27942	nt1
