trial_id,start_ms,duration_ms,fix_x,fix_y,exp_id,end_ms,program,fix_x_corrected,fix_y_corrected,fix_x_diff,fix_y_diff
11,2258,918,513,321,14,3176,nt2,513,321,0,0
11,3476,184,608,372,14,3660,nt2,608,372,0,0
11,3668,242,608,313,14,3910,nt2,608,313,0,0
11,3919,125,629,337,14,4044,nt2,629,337,0,0
11,4060,259,698,319,14,4319,nt2,698,319,0,0
11,4327,142,854,354,14,4469,nt2,854,354,0,0
11,4544,142,883,321,14,4686,nt2,883,321,0,0
11,5354,183,316,318,14,5537,nt2,316,318,0,0
11,5571,216,394,305,14,5787,nt2,394,305,0,0
11,5829,284,299,304,14,6113,nt2,299,304,0,0
11,6130,233,169,310,14,6363,nt2,169,310,0,0
11,6422,125,868,330,14,6547,nt2,868,330,0,0
11,7364,301,186,363,14,7665,nt2,186,363,0,0
11,7798,326,140,351,14,8124,nt2,140,351,0,0
11,8190,276,271,356,14,8466,nt2,271,356,0,0
11,8816,175,411,365,14,8991,nt2,411,365,0,0
11,9158,392,567,354,14,9550,nt2,567,354,0,0
11,9592,167,519,339,14,9759,nt2,519,339,0,0
11,9801,217,424,344,14,10018,nt2,424,344,0,0
11,10026,184,452,352,14,10210,nt2,452,352,0,0
11,10235,192,181,346,14,10427,nt2,181,346,0,0
11,10493,109,241,354,14,10602,nt2,241,354,0,0
11,10643,484,605,334,14,11127,nt2,605,334,0,0
11,11228,425,675,351,14,11653,nt2,675,351,0,0
11,11737,75,843,362,14,11812,nt2,843,362,0,0
11,11820,292,856,381,14,12112,nt2,856,381,0,0
11,12137,225,918,396,14,12362,nt2,918,396,0,0
11,12371,116,880,387,14,12487,nt2,880,387,0,0
11,12496,100,940,390,14,12596,nt2,940,390,0,0
11,12646,392,977,388,14,13038,nt2,977,388,0,0
11,13172,158,1004,375,14,13330,nt2,1004,375,0,0
11,13338,501,1106,378,14,13839,nt2,1106,378,0,0
11,13906,133,148,411,14,14039,nt2,148,411,0,0
11,14048,133,123,409,14,14181,nt2,123,409,0,0
11,14189,84,160,423,14,14273,nt2,160,423,0,0
11,14715,75,244,377,14,14790,nt2,244,377,0,0
11,14857,175,294,410,14,15032,nt2,294,410,0,0
11,15166,117,347,457,14,15283,nt2,347,457,0,0
11,15424,75,493,472,14,15499,nt2,493,472,0,0
11,15858,134,465,454,14,15992,nt2,465,454,0,0
11,16067,492,518,464,14,16559,nt2,518,464,0,0
11,16626,375,672,448,14,17001,nt2,672,448,0,0
11,17010,283,819,447,14,17293,nt2,819,447,0,0
11,17302,183,853,452,14,17485,nt2,853,452,0,0
11,17560,276,946,438,14,17836,nt2,946,438,0,0
11,17927,376,1041,449,14,18303,nt2,1041,449,0,0
11,18720,84,160,502,14,18804,nt2,160,502,0,0
11,18879,91,1056,439,14,18970,nt2,1056,439,0,0
11,19171,133,255,494,14,19304,nt2,255,494,0,0
11,19363,200,341,461,14,19563,nt2,341,461,0,0
11,19579,217,423,470,14,19796,nt2,423,470,0,0
11,19838,192,597,460,14,20030,nt2,597,460,0,0
11,20088,226,664,465,14,20314,nt2,664,465,0,0
11,20355,92,600,446,14,20447,nt2,600,446,0,0
11,20455,126,571,446,14,20581,nt2,571,446,0,0
11,20606,208,712,469,14,20814,nt2,712,469,0,0
11,20823,158,795,488,14,20981,nt2,795,488,0,0
11,21457,83,956,528,14,21540,nt2,956,528,0,0
11,21549,208,964,502,14,21757,nt2,964,502,0,0
11,21807,401,1036,506,14,22208,nt2,1036,506,0,0
11,22375,83,1069,534,14,22458,nt2,1069,534,0,0
11,22750,275,152,536,14,23025,nt2,152,536,0,0
11,23034,225,218,548,14,23259,nt2,218,548,0,0
11,23576,225,281,544,14,23801,nt2,281,544,0,0
11,23818,83,384,531,14,23901,nt2,384,531,0,0
11,23935,284,510,551,14,24219,nt2,510,551,0,0
11,24586,242,568,575,14,24828,nt2,568,575,0,0
11,25153,158,674,564,14,25311,nt2,674,564,0,0
11,25387,308,644,567,14,25695,nt2,644,567,0,0
11,25729,208,722,580,14,25937,nt2,722,580,0,0
11,26354,159,895,580,14,26513,nt2,895,580,0,0
11,26663,184,761,591,14,26847,nt2,761,591,0,0
11,27005,84,583,566,14,27089,nt2,583,566,0,0
11,27097,109,582,537,14,27206,nt2,582,537,0,0
11,27473,166,905,520,14,27639,nt2,905,520,0,0
11,27706,259,947,513,14,27965,nt2,947,513,0,0
11,28007,158,1080,508,14,28165,nt2,1080,508,0,0
11,28190,234,1041,553,14,28424,nt2,1041,553,0,0
11,28607,125,246,574,14,28732,nt2,246,574,0,0
11,28766,91,152,593,14,28857,nt2,152,593,0,0
11,28866,250,131,599,14,29116,nt2,131,599,0,0
11,29133,100,168,600,14,29233,nt2,168,600,0,0
11,29250,191,326,600,14,29441,nt2,326,600,0,0
11,29767,92,435,597,14,29859,nt2,435,597,0,0
11,30042,201,318,614,14,30243,nt2,318,614,0,0
11,30318,175,489,577,14,30493,nt2,489,577,0,0
11,30518,92,454,622,14,30610,nt2,454,622,0,0
11,30718,100,476,688,14,30818,nt2,476,688,0,0
11,31069,133,559,612,14,31202,nt2,559,612,0,0
11,31269,100,679,639,14,31369,nt2,679,639,0,0
11,31377,167,654,650,14,31544,nt2,654,650,0,0
11,31619,184,565,642,14,31803,nt2,565,642,0,0
11,31844,192,717,659,14,32036,nt2,717,659,0,0
11,32078,84,771,649,14,32162,nt2,771,649,0,0
11,32220,75,826,650,14,32295,nt2,826,650,0,0
11,32320,175,908,644,14,32495,nt2,908,644,0,0
11,32512,117,835,637,14,32629,nt2,835,637,0,0
11,32971,117,1096,629,14,33088,nt2,1096,629,0,0
11,33288,92,846,620,14,33380,nt2,846,620,0,0
11,33563,142,824,634,14,33705,nt2,824,634,0,0
11,34448,308,359,605,14,34756,nt2,359,605,0,0
11,35057,208,565,586,14,35265,nt2,565,586,0,0
11,35290,167,490,351,14,35457,nt2,490,351,0,0
11,35507,75,422,279,14,35582,nt2,422,279,0,0
11,35599,392,205,314,14,35991,nt2,205,314,0,0
11,36000,116,334,311,14,36116,nt2,334,311,0,0
11,36125,83,360,305,14,36208,nt2,360,305,0,0
11,36258,292,956,331,14,36550,nt2,956,331,0,0
11,36575,401,1065,348,14,36976,nt2,1065,348,0,0
11,37051,267,157,353,14,37318,nt2,157,353,0,0
11,37393,100,235,365,14,37493,nt2,235,365,0,0
11,37501,109,263,367,14,37610,nt2,263,367,0,0
11,37618,217,419,353,14,37835,nt2,419,353,0,0
11,37877,267,705,345,14,38144,nt2,705,345,0,0
11,38152,192,546,336,14,38344,nt2,546,336,0,0
11,38544,401,906,387,14,38945,nt2,906,387,0,0
11,38970,242,1066,388,14,39212,nt2,1066,388,0,0
11,39637,284,160,408,14,39921,nt2,160,408,0,0
11,40488,92,690,521,14,40580,nt2,690,521,0,0
11,40864,83,958,562,14,40947,nt2,958,562,0,0
11,40956,250,951,530,14,41206,nt2,951,530,0,0
11,41214,125,900,554,14,41339,nt2,900,554,0,0
11,41924,133,1063,565,14,42057,nt2,1063,565,0,0
11,42132,200,139,615,14,42332,nt2,139,615,0,0
11,42349,192,382,600,14,42541,nt2,382,600,0,0
11,42608,158,307,607,14,42766,nt2,307,607,0,0
11,42783,75,259,606,14,42858,nt2,259,606,0,0
11,42908,159,355,613,14,43067,nt2,355,613,0,0
11,43192,83,491,671,14,43275,nt2,491,671,0,0
11,43367,150,612,566,14,43517,nt2,612,566,0,0
11,43559,142,382,569,14,43701,nt2,382,569,0,0
11,43709,92,401,585,14,43801,nt2,401,585,0,0
11,43834,125,505,570,14,43959,nt2,505,570,0,0
11,44326,84,724,639,14,44410,nt2,724,639,0,0
11,44452,200,1013,566,14,44652,nt2,1013,566,0,0
11,44894,300,183,582,14,45194,nt2,183,582,0,0
11,45211,175,523,582,14,45386,nt2,523,582,0,0
11,45470,141,747,643,14,45611,nt2,747,643,0,0
11,45862,83,729,613,14,45945,nt2,729,613,0,0
11,45953,117,685,613,14,46070,nt2,685,613,0,0
11,46129,283,498,546,14,46412,nt2,498,546,0,0
11,46454,100,590,638,14,46554,nt2,590,638,0,0
11,46763,75,771,630,14,46838,nt2,771,630,0,0
11,46863,150,899,619,14,47013,nt2,899,619,0,0
11,47047,250,703,601,14,47297,nt2,703,601,0,0
11,47380,117,945,619,14,47497,nt2,945,619,0,0
11,47530,100,973,629,14,47630,nt2,973,629,0,0
11,47756,283,873,621,14,48039,nt2,873,621,0,0
11,48123,158,1015,624,14,48281,nt2,1015,624,0,0
11,48365,434,1052,631,14,48799,nt2,1052,631,0,0
11,48807,158,1095,615,14,48965,nt2,1095,615,0,0
11,49007,276,931,628,14,49283,nt2,931,628,0,0
11,49741,126,171,331,14,49867,nt2,171,331,0,0
11,49875,158,207,333,14,50033,nt2,207,333,0,0
11,50084,125,910,394,14,50209,nt2,910,394,0,0
