"trial_id","start_ms","duration_ms","fix_x","fix_y","exp_id","end_ms","program","fix_x_corrected","fix_y_corrected","fix_x_diff","fix_y_diff"
16,0,200,1187,574,6,200,"nt1",1187,574,0,0
16,400,217,267,293,6,617,"nt1",267,293,0,0
16,850,184,344,296,6,1034,"nt1",344,296,0,0
16,1050,234,487,317,6,1284,"nt1",487,317,0,0
16,1300,217,459,335,6,1517,"nt1",459,335,0,0
16,1684,250,608,331,6,1934,"nt1",608,331,0,0
16,2534,184,193,200,6,2718,"nt1",193,200,0,0
16,2835,233,364,261,6,3068,"nt1",364,261,0,0
16,3101,150,500,307,6,3251,"nt1",500,307,0,0
16,3368,167,568,310,6,3535,"nt1",568,310,0,0
16,4402,150,998,276,6,4552,"nt1",998,276,0,0
16,4569,166,830,308,6,4735,"nt1",830,308,0,0
16,4752,267,801,316,6,5019,"nt1",801,316,0,0
16,5035,150,858,301,6,5185,"nt1",858,301,0,0
16,11587,300,590,315,6,11887,"nt1",590,315,0,0
16,11920,250,800,312,6,12170,"nt1",800,312,0,0
16,12187,433,754,326,6,12620,"nt1",754,326,0,0
16,12737,217,814,318,6,12954,"nt1",814,318,0,0
16,12987,150,962,323,6,13137,"nt1",962,323,0,0
16,13504,217,1201,306,6,13721,"nt1",1201,306,0,0
16,14321,250,108,374,6,14571,"nt1",108,374,0,0
16,14604,251,308,377,6,14855,"nt1",308,377,0,0
16,14871,334,393,373,6,15205,"nt1",393,373,0,0
16,15221,267,504,365,6,15488,"nt1",504,365,0,0
16,15522,250,649,377,6,15772,"nt1",649,377,0,0
16,16022,167,837,398,6,16189,"nt1",837,398,0,0
16,16339,250,950,380,6,16589,"nt1",950,380,0,0
16,16722,167,1150,379,6,16889,"nt1",1150,379,0,0
16,16939,200,1245,382,6,17139,"nt1",1245,382,0,0
16,17189,333,1394,372,6,17522,"nt1",1394,372,0,0
16,17772,201,1282,390,6,17973,"nt1",1282,390,0,0
16,18306,367,1315,367,6,18673,"nt1",1315,367,0,0
16,18690,250,1451,363,6,18940,"nt1",1451,363,0,0
16,19273,200,89,392,6,19473,"nt1",89,392,0,0
16,19540,150,191,417,6,19690,"nt1",191,417,0,0
16,19757,250,300,426,6,20007,"nt1",300,426,0,0
16,20057,233,383,412,6,20290,"nt1",383,412,0,0
16,20307,217,534,406,6,20524,"nt1",534,406,0,0
16,20674,167,633,422,6,20841,"nt1",633,422,0,0
16,20857,250,763,416,6,21107,"nt1",763,416,0,0
