"trial_id","start_ms","duration_ms","fix_x","fix_y","exp_id","end_ms","program","fix_x_corrected","fix_y_corrected","fix_x_diff","fix_y_diff"
15,0,184,1213,435,5,184,"nt3",1213,465,0,-30
15,251,108,349,378,5,359,"nt3",349,408,0,-30
15,367,167,332,358,5,534,"nt3",332,388,0,-30
15,543,308,323,395,5,851,"nt3",323,425,0,-30
15,860,150,367,383,5,1010,"nt3",367,413,0,-30
15,1018,34,377,407,5,1052,"nt3",377,437,0,-30
15,1060,133,424,400,5,1193,"nt3",424,430,0,-30
15,1277,192,470,329,5,1469,"nt3",470,359,0,-30
15,1485,42,543,346,5,1527,"nt3",543,376,0,-30
15,1535,192,556,388,5,1727,"nt3",556,418,0,-30
15,1752,276,646,379,5,2028,"nt3",646,409,0,-30
15,2036,209,684,368,5,2245,"nt3",684,398,0,-30
15,2261,134,740,386,5,2395,"nt3",740,416,0,-30
15,2428,225,785,374,5,2653,"nt3",785,404,0,-30
15,2662,33,836,375,5,2695,"nt3",836,405,0,-30
15,2703,209,872,391,5,2912,"nt3",872,421,0,-30
15,2920,217,928,375,5,3137,"nt3",928,405,0,-30
15,3146,425,884,382,5,3571,"nt3",884,412,0,-30
15,3580,993,919,392,5,4573,"nt3",919,422,0,-30
15,4581,175,954,401,5,4756,"nt3",954,431,0,-30
15,4798,133,514,381,5,4931,"nt3",514,411,0,-30
15,4940,208,356,372,5,5148,"nt3",356,402,0,-30
15,5156,192,322,390,5,5348,"nt3",322,420,0,-30
15,5365,42,385,393,5,5407,"nt3",385,423,0,-30
15,5424,166,411,374,5,5590,"nt3",411,404,0,-30
15,5607,551,517,377,5,6158,"nt3",517,407,0,-30
15,6174,151,586,377,5,6325,"nt3",586,407,0,-30
15,6333,100,589,328,5,6433,"nt3",589,358,0,-30
15,6466,109,644,386,5,6575,"nt3",644,416,0,-30
15,6583,184,692,372,5,6767,"nt3",692,402,0,-30
15,6775,50,695,399,5,6825,"nt3",695,429,0,-30
15,6850,67,781,408,5,6917,"nt3",781,438,0,-30
15,6925,34,819,405,5,6959,"nt3",819,435,0,-30
15,6967,134,833,383,5,7101,"nt3",833,413,0,-30
15,7109,58,902,386,5,7167,"nt3",902,416,0,-30
15,7176,183,925,342,5,7359,"nt3",925,372,0,-30
15,7393,133,991,343,5,7526,"nt3",991,373,0,-30
15,7534,184,1013,379,5,7718,"nt3",1013,409,0,-30
15,7760,225,1090,406,5,7985,"nt3",1090,436,0,-30
15,8002,267,1141,401,5,8269,"nt3",1141,431,0,-30
15,8277,209,1178,403,5,8486,"nt3",1178,433,0,-30
15,8494,200,1215,387,5,8694,"nt3",1215,417,0,-30
15,8702,785,1268,374,5,9487,"nt3",1268,404,0,-30
15,9495,167,1313,376,5,9662,"nt3",1313,406,0,-30
15,9729,175,328,395,5,9904,"nt3",328,425,0,-30
15,9912,217,300,405,5,10129,"nt3",300,435,0,-30
15,10138,358,339,400,5,10496,"nt3",339,430,0,-30
15,10505,183,325,424,5,10688,"nt3",325,454,0,-30
15,10697,275,359,418,5,10972,"nt3",359,448,0,-30
15,11080,251,1065,393,5,11331,"nt3",1065,423,0,-30
15,11373,241,565,388,5,11614,"nt3",565,418,0,-30
15,11631,83,704,381,5,11714,"nt3",704,411,0,-30
15,11723,242,723,432,5,11965,"nt3",723,462,0,-30
15,11973,42,752,428,5,12015,"nt3",752,458,0,-30
15,12040,300,532,420,5,12340,"nt3",532,450,0,-30
15,12390,376,414,438,5,12766,"nt3",414,468,0,-30
15,12774,125,429,404,5,12899,"nt3",429,434,0,-30
15,12908,258,475,412,5,13166,"nt3",475,442,0,-30
15,13175,50,494,430,5,13225,"nt3",494,460,0,-30
15,13233,209,531,435,5,13442,"nt3",531,465,0,-30
15,13450,259,509,434,5,13709,"nt3",509,464,0,-30
15,13717,576,555,419,5,14293,"nt3",555,449,0,-30
15,14301,42,600,426,5,14343,"nt3",600,456,0,-30
15,14359,134,629,435,5,14493,"nt3",629,465,0,-30
15,14802,342,714,440,5,15144,"nt3",714,470,0,-30
15,15152,225,760,405,5,15377,"nt3",760,435,0,-30
15,15402,451,769,373,5,15853,"nt3",769,403,0,-30
15,15886,476,697,346,5,16362,"nt3",697,376,0,-30
15,16395,276,766,358,5,16671,"nt3",766,388,0,-30
15,16687,242,831,383,5,16929,"nt3",831,413,0,-30
15,16938,333,876,392,5,17271,"nt3",876,422,0,-30
15,17288,200,916,386,5,17488,"nt3",916,416,0,-30
15,17497,275,955,408,5,17772,"nt3",955,438,0,-30
15,17789,183,923,424,5,17972,"nt3",923,454,0,-30
15,17981,66,930,446,5,18047,"nt3",930,476,0,-30
15,18056,158,964,439,5,18214,"nt3",964,469,0,-30
15,18222,376,1023,423,5,18598,"nt3",1023,453,0,-30
15,18606,159,1057,425,5,18765,"nt3",1057,455,0,-30
15,18773,351,1022,428,5,19124,"nt3",1022,458,0,-30
15,19132,67,1049,429,5,19199,"nt3",1049,459,0,-30
15,19207,92,1060,402,5,19299,"nt3",1060,432,0,-30
15,19307,209,1112,420,5,19516,"nt3",1112,450,0,-30
15,19524,325,1135,406,5,19849,"nt3",1135,436,0,-30
15,19858,208,1100,422,5,20066,"nt3",1100,452,0,-30
15,20091,267,1181,410,5,20358,"nt3",1181,440,0,-30
15,20383,134,1245,395,5,20517,"nt3",1245,425,0,-30
15,20525,34,1253,372,5,20559,"nt3",1253,402,0,-30
15,20567,117,1297,383,5,20684,"nt3",1297,413,0,-30
15,20692,50,1317,376,5,20742,"nt3",1317,406,0,-30
15,20759,334,1237,391,5,21093,"nt3",1237,421,0,-30
15,21109,42,1272,395,5,21151,"nt3",1272,425,0,-30
15,21159,151,1267,432,5,21310,"nt3",1267,462,0,-30
15,21318,50,1317,417,5,21368,"nt3",1317,447,0,-30
15,21376,284,1343,384,5,21660,"nt3",1343,414,0,-30
15,21668,242,1329,427,5,21910,"nt3",1329,457,0,-30
15,21919,275,1362,419,5,22194,"nt3",1362,449,0,-30
15,22244,384,1324,431,5,22628,"nt3",1324,461,0,-30
15,22636,200,1359,426,5,22836,"nt3",1359,456,0,-30
15,22845,133,1304,438,5,22978,"nt3",1304,468,0,-30
15,22987,942,1321,428,5,23929,"nt3",1321,458,0,-30
15,23938,183,1358,435,5,24121,"nt3",1358,465,0,-30
15,24196,67,418,463,5,24263,"nt3",418,493,0,-30
15,24305,400,317,476,5,24705,"nt3",317,506,0,-30
15,24722,83,294,470,5,24805,"nt3",294,500,0,-30
15,24830,217,382,461,5,25047,"nt3",382,491,0,-30
15,25056,142,420,461,5,25198,"nt3",420,491,0,-30
15,25206,175,454,476,5,25381,"nt3",454,506,0,-30
15,25390,233,408,471,5,25623,"nt3",408,501,0,-30
15,25631,76,446,475,5,25707,"nt3",446,505,0,-30
15,25723,159,472,489,5,25882,"nt3",472,519,0,-30
15,25890,175,511,478,5,26065,"nt3",511,508,0,-30
15,26074,233,550,465,5,26307,"nt3",550,495,0,-30
15,26349,250,625,462,5,26599,"nt3",625,492,0,-30
15,26608,233,667,489,5,26841,"nt3",667,519,0,-30
15,26850,150,698,479,5,27000,"nt3",698,509,0,-30
15,27008,259,746,494,5,27267,"nt3",746,524,0,-30
15,27275,292,797,484,5,27567,"nt3",797,514,0,-30
15,27576,150,818,489,5,27726,"nt3",818,519,0,-30
15,27734,33,849,476,5,27767,"nt3",849,506,0,-30
15,27776,192,878,487,5,27968,"nt3",878,517,0,-30
15,27976,142,857,498,5,28118,"nt3",857,528,0,-30
15,28134,34,877,483,5,28168,"nt3",877,513,0,-30
15,28176,142,916,468,5,28318,"nt3",916,498,0,-30
15,28335,41,926,447,5,28376,"nt3",926,477,0,-30
15,28385,217,956,465,5,28602,"nt3",956,495,0,-30
15,28610,142,986,498,5,28752,"nt3",986,528,0,-30
15,28760,201,951,493,5,28961,"nt3",951,523,0,-30
15,28969,67,1049,478,5,29036,"nt3",1049,508,0,-30
15,29044,242,1081,461,5,29286,"nt3",1081,491,0,-30
15,29294,234,1032,481,5,29528,"nt3",1032,511,0,-30
15,29545,158,1066,490,5,29703,"nt3",1066,520,0,-30
15,29711,142,1092,465,5,29853,"nt3",1092,495,0,-30
15,29862,116,1125,485,5,29978,"nt3",1125,515,0,-30
15,29987,242,1161,507,5,30229,"nt3",1161,537,0,-30
15,30237,242,1219,509,5,30479,"nt3",1219,539,0,-30
15,30487,76,1252,499,5,30563,"nt3",1252,529,0,-30
15,30571,200,1257,478,5,30771,"nt3",1257,508,0,-30
15,30779,226,1230,489,5,31005,"nt3",1230,519,0,-30
15,31013,150,1270,485,5,31163,"nt3",1270,515,0,-30
15,31172,217,1321,477,5,31389,"nt3",1321,507,0,-30
