"trial_id","start_ms","duration_ms","fix_x","fix_y","exp_id","end_ms","program","fix_x_corrected","fix_y_corrected","fix_x_diff","fix_y_diff"
1,383,250,115,284,11,633,nt1,115,284,0,0
1,700,150,367,290,11,850,nt1,367,290,0,0
1,1000,334,143,275,11,1334,nt1,143,275,0,0
1,1350,150,208,291,11,1500,nt1,208,291,0,0
1,1550,200,326,286,11,1750,nt1,326,286,0,0
1,1784,183,515,281,11,1967,nt1,515,281,0,0
1,2117,184,596,316,11,2301,nt1,596,316,0,0
1,3001,150,762,300,11,3151,nt1,762,300,0,0
1,3168,217,790,300,11,3385,nt1,790,300,0,0
1,3451,367,818,356,11,3818,nt1,818,356,0,0
1,3952,266,819,316,11,4218,nt1,819,316,0,0
1,4368,334,914,370,11,4702,nt1,914,370,0,0
1,7236,350,1332,238,11,7586,nt1,1332,238,0,0
1,7803,434,72,336,11,8237,nt1,72,336,0,0
1,8353,267,230,358,11,8620,nt1,230,358,0,0
1,8687,383,358,348,11,9070,nt1,358,348,0,0
1,9521,1283,865,401,11,10804,nt1,865,401,0,0
1,11071,234,224,363,11,11305,nt1,224,363,0,0
1,12172,150,650,379,11,12322,nt1,650,379,0,0
1,13005,184,875,408,11,13189,nt1,875,408,0,0
1,14723,167,260,409,11,14890,nt1,260,409,0,0
1,14906,317,199,408,11,15223,nt1,199,408,0,0
1,15240,217,260,417,11,15457,nt1,260,417,0,0
1,15540,183,397,417,11,15723,nt1,397,417,0,0
1,15957,183,489,436,11,16140,nt1,489,436,0,0
1,16173,267,794,445,11,16440,nt1,794,445,0,0
1,16540,317,958,455,11,16857,nt1,958,455,0,0
1,17007,200,1144,400,11,17207,nt1,1144,400,0,0
1,19191,234,218,472,11,19425,nt1,218,472,0,0
1,20042,200,786,516,11,20242,nt1,786,516,0,0
1,20392,200,918,536,11,20592,nt1,918,536,0,0
1,23377,450,235,548,11,23827,nt1,235,548,0,0
1,23944,433,538,575,11,24377,nt1,538,575,0,0
1,28412,217,68,622,11,28629,nt1,68,622,0,0
1,28646,183,174,626,11,28829,nt1,174,626,0,0
1,28862,167,282,637,11,29029,nt1,282,637,0,0
1,29179,534,384,646,11,29713,nt1,384,646,0,0
1,32731,467,69,669,11,33198,nt1,69,669,0,0
1,33214,217,99,674,11,33431,nt1,99,674,0,0
1,33448,216,119,686,11,33664,nt1,119,686,0,0
1,33681,1034,90,677,11,34715,nt1,90,677,0,0
1,34732,283,58,670,11,35015,nt1,58,670,0,0
1,35048,167,197,687,11,35215,nt1,197,687,0,0
1,35248,250,275,693,11,35498,nt1,275,693,0,0
1,36749,300,640,510,11,37049,nt1,640,510,0,0
1,37099,234,271,685,11,37333,nt1,271,685,0,0
1,37483,283,1191,632,11,37766,nt1,1191,632,0,0
1,38316,184,871,526,11,38500,nt1,871,526,0,0
1,38650,217,621,533,11,38867,nt1,621,533,0,0
2,0,234,494,427,11,234,nt2,494,427,0,0
2,434,167,113,288,11,601,nt2,113,288,0,0
2,617,267,74,286,11,884,nt2,74,286,0,0
2,917,150,224,282,11,1067,nt2,224,282,0,0
2,1451,383,280,268,11,1834,nt2,280,268,0,0
2,1985,483,418,297,11,2468,nt2,418,297,0,0
2,2551,651,445,301,11,3202,nt2,445,301,0,0
2,3352,166,541,309,11,3518,nt2,541,309,0,0
2,3552,250,323,276,11,3802,nt2,323,276,0,0
2,4602,350,701,317,11,4952,nt2,701,317,0,0
2,5086,183,746,326,11,5269,nt2,746,326,0,0
2,6503,167,123,271,11,6670,nt2,123,271,0,0
2,6720,817,649,312,11,7537,nt2,649,312,0,0
2,7654,216,724,337,11,7870,nt2,724,337,0,0
2,8020,251,858,381,11,8271,nt2,858,381,0,0
2,10205,200,69,339,11,10405,nt2,69,339,0,0
2,10438,417,177,341,11,10855,nt2,177,341,0,0
2,11105,150,295,348,11,11255,nt2,295,348,0,0
2,11405,200,447,365,11,11605,nt2,447,365,0,0
2,11989,183,647,376,11,12172,nt2,647,376,0,0
2,12206,200,359,282,11,12406,nt2,359,282,0,0
2,12439,234,88,266,11,12673,nt2,88,266,0,0
2,12706,317,299,284,11,13023,nt2,299,284,0,0
2,13039,217,393,297,11,13256,nt2,393,297,0,0
2,13273,400,289,294,11,13673,nt2,289,294,0,0
2,13706,150,480,312,11,13856,nt2,480,312,0,0
2,13990,200,410,288,11,14190,nt2,410,288,0,0
2,14240,150,550,290,11,14390,nt2,550,290,0,0
2,14690,233,749,335,11,14923,nt2,749,335,0,0
2,14990,334,725,315,11,15324,nt2,725,315,0,0
2,15340,167,772,313,11,15507,nt2,772,313,0,0
2,15557,267,817,368,11,15824,nt2,817,368,0,0
2,15991,316,707,320,11,16307,nt2,707,320,0,0
2,16407,251,647,298,11,16658,nt2,647,298,0,0
2,17708,183,628,318,11,17891,nt2,628,318,0,0
2,18625,217,170,289,11,18842,nt2,170,289,0,0
